19:51:11 INFO DF DISCONNECT — killing sentinel + rtl_sdr
19:51:11 INFO SoapySDR closed
19:51:13 INFO DF DISCONNECT done
19:51:15 INFO DF LIVE START — killing rtl_sdr, starting scan loop
19:51:15 INFO DF LIVE thread started: True
19:51:17 INFO SoapySDR opened — persistent handle
19:51:27 DEBUG DF 632MHz: 131072 samples in 0.106s
19:51:27 DEBUG DF 634MHz: 131072 samples in 0.106s
19:51:27 DEBUG DF 636MHz: 131072 samples in 0.106s
19:51:28 DEBUG DF 622MHz: 131072 samples in 0.106s
19:51:28 DEBUG DF 624MHz: 131072 samples in 0.107s
19:51:28 DEBUG DF 628MHz: 131072 samples in 0.106s
19:51:28 DEBUG DF 630MHz: 131072 samples in 0.106s
19:51:28 DEBUG DF 632MHz: 131072 samples in 0.106s
19:51:28 DEBUG DF 634MHz: 131072 samples in 0.106s
19:51:28 DEBUG DF 636MHz: 131072 samples in 0.106s
19:51:28 DEBUG DF 622MHz: 131072 samples in 0.106s
19:51:28 DEBUG DF 624MHz: 131072 samples in 0.106s
19:51:29 DEBUG DF 628MHz: 131072 samples in 0.106s
19:51:29 DEBUG DF 630MHz: 131072 samples in 0.106s
19:51:29 DEBUG DF 632MHz: 131072 samples in 0.106s
19:51:29 DEBUG DF 634MHz: 131072 samples in 0.106s
19:51:29 DEBUG DF 636MHz: 131072 samples in 0.106s
19:51:29 DEBUG DF 622MHz: 131072 samples in 0.106s
19:51:29 DEBUG DF 624MHz: 131072 samples in 0.106s
19:51:29 DEBUG DF 628MHz: 131072 samples in 0.106s
19:51:29 DEBUG DF 630MHz: 131072 samples in 0.106s
19:51:30 DEBUG DF 632MHz: 131072 samples in 0.106s
19:51:30 DEBUG DF 634MHz: 131072 samples in 0.106s
19:51:30 DEBUG DF 636MHz: 131072 samples in 0.107s
19:51:30 DEBUG DF 622MHz: 131072 samples in 0.106s
19:51:30 DEBUG DF 624MHz: 131072 samples in 0.106s
19:51:30 DEBUG DF 628MHz: 131072 samples in 0.106s
19:51:30 DEBUG DF 630MHz: 131072 samples in 0.106s
19:51:30 DEBUG DF 632MHz: 131072 samples in 0.106s
19:51:30 DEBUG DF 634MHz: 131072 samples in 0.106s
19:51:31 DEBUG DF 636MHz: 131072 samples in 0.106s
19:51:31 DEBUG DF 622MHz: 131072 samples in 0.110s
19:51:31 DEBUG DF 624MHz: 131072 samples in 0.102s
19:51:31 DEBUG DF 628MHz: 131072 samples in 0.106s
19:51:31 DEBUG DF 630MHz: 131072 samples in 0.106s
19:51:31 DEBUG DF 632MHz: 131072 samples in 0.106s
19:51:31 DEBUG DF 634MHz: 131072 samples in 0.107s
19:51:31 DEBUG DF 636MHz: 131072 samples in 0.106s
19:51:31 DEBUG DF 622MHz: 131072 samples in 0.107s
19:51:32 DEBUG DF 624MHz: 131072 samples in 0.106s
19:51:32 DEBUG DF 628MHz: 131072 samples in 0.106s
19:51:32 DEBUG DF 630MHz: 131072 samples in 0.106s
19:51:32 DEBUG DF 632MHz: 131072 samples in 0.106s
19:51:32 DEBUG DF 634MHz: 131072 samples in 0.106s
19:51:32 DEBUG DF 636MHz: 131072 samples in 0.107s
19:51:32 DEBUG DF 622MHz: 131072 samples in 0.106s
